genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
,EPI_ISL_415152,Gorgas Memorial Institute for Health Studies,Gorgas Memorial Institute for Health Studies,Danilo Franco et al
,EPI_ISL_450584,"Michigan Department of Health and Human Services, Bureau of Laboratories","Michigan Department of Health and Human Services, Bureau of Laboratories",Blankenship HM et al
,EPI_ISL_454578,"University Hospital for Infectious Diseases ""Dr. Fran Mihaljević"", Research Unit","University of Zagreb, Centre for research and knowledge transfer in biotechnology",Ivan-Christian Kurolt et al
,EPI_ISL_452530,Clínica Universidad de Navarra. Servicio de Enfermedades Infecciosas y Microbiología clínica,SeqCOVID-SPAIN consortium/IBV(CSIC),Mirian Fernández-Alonso et al
,EPI_ISL_452497,Clínica Universidad de Navarra. Servicio de Enfermedades Infecciosas y Microbiología clínica,SeqCOVID-SPAIN consortium/IBV(CSIC),Mirian Fernández-Alonso et al
,EPI_ISL_435420,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
,EPI_ISL_456126,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782)
,EPI_ISL_452602,Servicio de Microbiología y Parasitología clínica. UCEIMP. Hospital Universitario Virgen del Rocío/IBIS/CSIC/US.,SeqCOVID-SPAIN consortium/IBV(CSIC),Guillermo Martí­n Gutiérrez et al
,EPI_ISL_445183,,Takayuki Hishiki Kanagawa Prefectural Institute of Public Health,Hishiki et al A
,EPI_ISL_456134,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782)
,EPI_ISL_456135,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782)
,EPI_ISL_435425,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
,EPI_ISL_426075,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_430801,Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez,Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443)
,EPI_ISL_416481,"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Gvantsa Chanturia et al
,EPI_ISL_451306,"Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Antonio Piralla et al
,EPI_ISL_430469,"Hellenic Pasteur Institute, Public Health Laboratories","Hellenic Pasteur Institute, Public Health Laboratories, Unit of Bioinformatics and Applied Genomics",Vasiliki Pogka et al
,EPI_ISL_416143,"Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.",ViFU,Morten Rasmussen et al
,EPI_ISL_412964,Hospital Israelita Albert Einstein,Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory,Jaqueline Goes de Jesus et al (https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409)
,EPI_ISL_429160,Klinisk mikrobiologi Orebro,The Public Health Agency of Sweden,Martin Sundqvist et al
,EPI_ISL_451937,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
,EPI_ISL_450195,SA Pathology,SA Pathology,Lex Leong et al
,EPI_ISL_417419,Laboratory of Molecular Virology International Center for Genetic Engineering and Biotechnology (ICGEB),ARGO Open Lab Platform for Genome sequencing,Licastro D et al (https://dx.doi.org/10.1128/JVI.00543-20)
,EPI_ISL_413593,Laboratoire National de Santé,Erasmus Medical Center,David Nieuwenhuijse et al B
,EPI_ISL_419562,"Laboratoire National de Santé, Microbiology, Virology","Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
,EPI_ISL_418403,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland","Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",Teemu Smura et al A
,EPI_ISL_420024,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_416673,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_416524,Saitama Medical University Hospital,Saitama Medical University,Kazuo Imai et al
,EPI_ISL_416525,Saitama Medical University,Saitama Medical University,Kazuo Imai et al
,EPI_ISL_418211,Institut Pasteur Dakar,Institut Pasteur de Dakar,Ndongo Dia et al
,EPI_ISL_418212,Institut Pasteur Dakar,Institut Pasteur de Dakar,Ndongo Dia et al
,EPI_ISL_447842,IA State Hygienic Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_424899,IA State Hygienic Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_416742,"NRL for Influenza, Centrum Epidemiology and Microbiology of National Institute of Public Health, Czech Republic","Charite Universitaetsmedizin Berlin, Institute of Virology",Victor M Corman et al B
,EPI_ISL_414015,Hospital São Joaquim Beneficencia Portuguesa,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",Claudio Tavares Sacchi et al B (https://dx.doi.org/10.1590/s1678-9946202062030)
,EPI_ISL_428672,Centre for Dengue Research,Centre for Dengue Research,Chandima Jeewandara et al
,EPI_ISL_424865,IA State Hygienic Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_444591,Northwestern Memorial Hospital,Ozer Lab,Ramon Lorenzo-Redondo et al (https://dx.doi.org/10.1101/2020.05.19.20107144)
,EPI_ISL_435062,"National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)",NCDC/CSIR-IGIB,Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
,EPI_ISL_420303,Alaska State Virology Laboratory,Alaska State Virology Laboratory,Chen et al
,EPI_ISL_424347,Alaska State Virology Laboratory,Alaska State Virology Laboratory,Chen et al
,EPI_ISL_424866,IN State Department of Health Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_447840,DC Public Health Lab/ Dept. of Forensic Sciences,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_455636,"KRISP, KZN Research Innovation and Sequencing Platform","KRISP, KZN Research Innovation and Sequencing Platform",Giandhari J et al (https://dx.doi.org/10.1101/2020.05.29.20116376)
,EPI_ISL_458025,Hospital for Tropical Diseases,COVID-19 Network Investigations (CONI) Alliance,Elizabeth Batty et al
,EPI_ISL_424894,VA-Division of Consolidated Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_430005,Biolab Diagnostic Laboratories,Andersen lab at Scripps Research,Issa Abu-Dayyeh et al
,EPI_ISL_424900,IA State Hygienic Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_420294,"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana",Samo Zakotnik et al
,EPI_ISL_455453,"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)","1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH).",Katarzyna Pancer et al
,EPI_ISL_434539,Area de Salud Orotina,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",Duarte et al
,EPI_ISL_434800,Houston Methodist Hospital,Houston Methodist Hospital,S. Wesley Long et al (https://dx.doi.org/10.1101/2020.05.01.072652)
,EPI_ISL_426527,"AZ SPHL, Arizona Department of Health Services",TGen North,Jolene Bowers et al (https://dx.doi.org/10.1101/2020.05.08.20095935)
,EPI_ISL_417780,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
,EPI_ISL_452114,KS Health and Environmental Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_429504,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
,EPI_ISL_420295,"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana",Samo Zakotnik et al
,EPI_ISL_417973,Utah Public Health Laboratory,Utah Public Health Laboratory,Erin Young et al
,EPI_ISL_438102,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al B
,EPI_ISL_420804,Utah Public Health Laboratory,Utah Public Health Laboratory,Erin Young et al
,EPI_ISL_422424,Jaber Al Ahmad Al Sabah Hospital,Dasman diabetes Institute,Fahd Al-Mulla et al
,EPI_ISL_456210,LabPLUS,Institute of Environmental Science and Research (ESR),Matt Storey et al A
,EPI_ISL_417202,University of Wisconsin-Madison AIDS Vaccine Research Laboratories,University of Wisconsin-Madison AIDS Vaccine Research Laboratories,Gage Moreno et al (https://www.medrxiv.org/content/10.1101/2020.07.09.20149104v1)
,EPI_ISL_413648,"Centro Hospitalar e Universitário de Sao Joao, Porto",Instituto Nacional de Saude (INSA),Raquel Guiomar et al
,EPI_ISL_436203,Servicio de Microbiología. Consorcio Hospital General Universitario de Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health,Maria Dolores Ocete et al
,EPI_ISL_447129,Department of Clinical Microbiology,GIGA Medical Genomics,Keith Durkin et al
,EPI_ISL_429762,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
,EPI_ISL_451683,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
,EPI_ISL_451700,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
,EPI_ISL_417437,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
,EPI_ISL_420598,Servicio Virosis Respiratorias-Departamento Virología-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister E. et al (https://dx.doi.org/10.1101/2020.05.23.20111443)
,EPI_ISL_422405,"NMIMR, Department of Virology","WACCBIP, University of Ghana",Joyce M. Ngoi et al
,EPI_ISL_421653,E. Gulbja Laboratorija,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
,EPI_ISL_426288,E. Gulbja Laboratorija,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
,EPI_ISL_429765,"Laboratoire National de Sante, Microbiology, Virology","Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
,EPI_ISL_451785,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
,EPI_ISL_450299,National Institute for Communicable Diseases of the National Health Laboratory Service,National Institute for Communicable Diseases of the National Health Laboratory Service,Allam M et al A
,EPI_ISL_451671,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
,EPI_ISL_423306,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_417946,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
,EPI_ISL_435143,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_455447,"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)","1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH).",Katarzyna Pancer et al
,EPI_ISL_415698,Hôpitaux universitaires de Genève Laboratoire de Virologie,Hôpitaux universitaires de Genève Laboratoire de Virologie,Laubscher F. et al
,EPI_ISL_417768,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
,EPI_ISL_437092,Latvijas Infektoloģijas centrs,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
,EPI_ISL_418397,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland","Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",Teemu Smura et al A
,EPI_ISL_413550,"Centre for Human and Zoonotic Virology (CHAZVY), College of Medicine University of Lagos/Lagos University Teaching Hospital (LUTH), part of the Laboratory Network of the Nigeria Centre for Disease Control (NCDC)","African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",Oluniyi P.E. et al B (https://virological.org/t/first-african-sars-cov-2-genome-sequence-from-nigerian-covid-19-case/421)
,EPI_ISL_428855,MRCG at LSHTM Geomics lab,MRCG at LSHTM Genomics lab,Sesay et al et al (https://dx.doi.org/10.1101/2020.04.30.070771)
,EPI_ISL_426894,Motol University Hospital,Institute of Applied Biotechnologies a.s.,Petr Brož et al
,EPI_ISL_454754,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_422563,Institute of Microbiology Universidad San Francisco de Quito,Institute of Microbiology Universidad San Francisco de Quito,Belen Prado-Vivar et al (https://dx.doi.org/10.1101/2020.06.11.20128330)
,EPI_ISL_420787,GA Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_434480,"Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens","Laboratory of Biology, Department of Medicine, Democritus University of Thrace",Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
,EPI_ISL_451185,Uganda Virus Research Institute,MRC/UVRI & LSHTM Uganda Research Unit,Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
,EPI_ISL_419556,GA Department of Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_416142,"Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.",Statens Serum Institute,Morten Rasmussen et al
,EPI_ISL_415787,Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud. Peru,Laboratorio de Referencia Nacional de Biotecnologia y Biologia Molecular.Instituto Nacional de Salud.Peru,Carlos Padilla Rojas et al (https://dx.doi.org/10.1101/2020.05.23.20111443)
,EPI_ISL_455326,Hospital Universitario Insular de Gran Canaria,Instituto de Salud Carlos III,Iglesias-Caballero et al
,EPI_ISL_457763,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_437874,"Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens","Laboratory of Biology, Department of Medicine, Democritus University of Thrace",Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
,EPI_ISL_426287,E. Gulbja Laboratorija,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
,EPI_ISL_426890,Motol University Hospital,Institute of Applied Biotechnologies a.s.,Petr Brož et al
,EPI_ISL_426883,Motol University Hospital,Institute of Applied Biotechnologies a.s.,Petr Brož et al
,EPI_ISL_425023,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Steven Platt et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_454774,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_435047,Laboratory of Applied Genetics,"RSE ""National Center for Biotechnology""",Shevtsov et al
,EPI_ISL_419656,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_437994,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_437993,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_437995,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_451973,"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. DIAGNOSTYKA Ltd.","1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College.",Marek Sanak et al
,EPI_ISL_451985,"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. DIAGNOSTYKA Ltd.","1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College.",Marek Sanak et al
,EPI_ISL_457804,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438236,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457774,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_434683,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438247,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_420591,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_457777,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_434640,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_428887,"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms","State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms",Oleg V. Pyankov et al
,EPI_ISL_451186,Uganda Virus Research Institute,MRC/UVRI & LSHTM Uganda Research Unit,Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
,EPI_ISL_451192,Uganda Virus Research Institute,MRC/UVRI & LSHTM Uganda Research Unit,Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
,EPI_ISL_451190,Uganda Virus Research Institute,MRC/UVRI & LSHTM Uganda Research Unit,Dan Lule Bugembe et al (https://dx.doi.org/10.3201/eid2610.202575)
,EPI_ISL_435315,National Hospital of Tropical Diseases,"Oxford University Clinical Research Unit, Hanoi, Vietnam",Nguyen Thi Tam et al
,EPI_ISL_434538,COOPESAIN,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",Duarte et al
,EPI_ISL_451934,"Research Unit, University Hospital for Infectious Diseases ""Dr. Fran Mihaljević""","Cicin Sain lab, Helmholtz Centre for Infection Research",Zeeshan Chaudhry et al
,EPI_ISL_415456,Hôpitaux universitaires de Genève Laboratoire de Virologie,Hôpitaux universitaires de Genève Laboratoire de Virologie,Laubscher F. et al
,EPI_ISL_451165,Lab voor klinische biologie,Onderzoeksgroep Virologie,Laurens Lambrechts et al B
,EPI_ISL_418274,"University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology",Hirsch et al
,EPI_ISL_418273,"University Hospital Basel, Clinical Virology","University Hospital Basel, Labormedizin",Hirsch et al
,EPI_ISL_413997,"Laboratoire de Virologie, HUG",Swiss National Reference Centre for Influenza,LAUBSCHER Florian et al. et al
,EPI_ISL_457803,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_435417,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
,EPI_ISL_454751,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_415454,Hôpitaux universitaires de Genève Laboratoire de Virologie,Hôpitaux universitaires de Genève Laboratoire de Virologie,Laubscher F. et al
,EPI_ISL_426580,Instituto Sabin,Laboratory of Virology,Fernando L Melo et al (https://dx.doi.org/10.1101/2020.06.11.20128249)
,EPI_ISL_454750,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),Adam Meijer et al
,EPI_ISL_434803,Houston Methodist Hospital,Houston Methodist Hospital,S. Wesley Long et al (https://dx.doi.org/10.1101/2020.05.01.072652)
,EPI_ISL_458139,﻿Evandro Chagas Institute,﻿Evandro Chagas Institute,Santos et al (https://dx.doi.org/10.1101/2020.06.17.158006)
,EPI_ISL_457796,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_450873,Evandro Chagas Institute,Evandro Chagas Institute,Santos et al (https://dx.doi.org/10.1101/2020.06.17.158006)
,EPI_ISL_426886,Motol University Hospital,Institute of Applied Biotechnologies a.s.,Petr Brož et al
,EPI_ISL_418516,UCD National Virus Reference Laboratory,UCD National Virus Reference Laboratory,Michael Carr et al
,EPI_ISL_413647,"Centro Hospital do Porto, E.P.E. - H. Geral de Santo Antonio",Instituto Nacional de Saude (INSA),Raquel Guiomar et al
,EPI_ISL_417776,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
,EPI_ISL_416479,"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Marine Murtskhvaladze et al
,EPI_ISL_414014,Hospital Israelita Albert Einstein,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",Claudio Tavares Sacchi et al B (https://dx.doi.org/10.1590/s1678-9946202062030)
,EPI_ISL_417751,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
,EPI_ISL_418548,UCD National Virus Reference Laboratory,UCD National Virus Reference Laboratory,Michael Carr et al
,EPI_ISL_455874,Karolinska Universitetslaboratoriet,The Public Health Agency of Sweden,Anna-Malin Linde et al
,EPI_ISL_424870,MO State Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_447505,Servicio de Microbiologia. Hospital Clinico Universitario de Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health,Sandra Carbo et al
,EPI_ISL_427293,LACEN-BA - Laboratório Central de Saúde Pública Professor Gonçalo Moniz,Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS),Paola Resende et al (https://dx.doi.org/10.1101/2020.06.17.158006)
,EPI_ISL_427251,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_435409,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
,EPI_ISL_457775,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457786,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_419559,FL Bureau of Public Health Laboratories-Tampa,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Anna Uehara et al B
,EPI_ISL_457758,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
